Series Name,Source File(s)
Firms expected to give gifts in meetings with tax officials (% of firms),WDI
Firms experiencing electrical outages (% of firms),WDI
Firms experiencing losses due to theft and vandalism (% of firms),WDI
Firms formally registered when operations started (% of firms),WDI
Firms offering formal training (% of firms),WDI
Firms that do not report all sales for tax purposes (% of firms),WDI
Firms that spend on R&D (% of firms),WDI
Firms using banks to finance investment (% of firms),WDI
Firms using banks to finance working capital (% of firms),WDI
Firms visited or required meetings with tax officials (% of firms),WDI
Firms with female participation in ownership (% of firms),WDI
Firms with female top manager (% of firms),WDI
"Fish species, threatened",WDI
Fixed broadband subscriptions,WDI
Fixed broadband subscriptions (per 100 people),WDI
Fixed telephone subscriptions,WDI
Fixed telephone subscriptions (per 100 people),WDI
Food exports (% of merchandise exports),WDI
Food imports (% of merchandise imports),WDI
Food production index (2014-2016 = 100),WDI
"Food, beverages and tobacco (% of value added in manufacturing)",WDI
Forcibly displaced people,WDI
"Foreign direct investment, net (BoP, current US$)",WDI
"Foreign direct investment, net inflows (% of GDP)",WDI
"Foreign direct investment, net inflows (BoP, current US$)",WDI
"Foreign direct investment, net outflows (% of GDP)",WDI
"Foreign direct investment, net outflows (BoP, current US$)",WDI
Forest area (% of land area),WDI
Forest area (sq. km),WDI
Forest rents (% of GDP),WDI
Fossil fuel energy consumption (% of total),WDI
Fuel exports (% of merchandise exports),WDI
Fuel imports (% of merchandise imports),WDI
GDP (constant 2015 US$),WDI
GDP (constant LCU),WDI
GDP (current LCU),WDI
GDP (current US$),WDI
GDP deflator (base year varies by country),WDI
GDP deflator: linked series (base year varies by country),WDI
GDP growth (annual %),WDI
GDP per capita (constant 2015 US$),WDI
GDP per capita (constant LCU),WDI
GDP per capita (current LCU),WDI
GDP per capita (current US$),WDI
GDP per capita growth (annual %),WDI
"GDP per capita, PPP (constant 2021 international $)",WDI
"GDP per capita, PPP (current international $)",WDI
GDP per person employed (constant 2021 PPP $),WDI
GDP per unit of energy use (PPP $ per kg of oil equivalent),WDI
GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),WDI
"GDP, PPP (constant 2021 international $)",WDI
"GDP, PPP (current international $)",WDI
GDP: linked series (current LCU),WDI
GNI (constant 2015 US$),WDI
GNI (constant LCU),WDI
GNI (current LCU),WDI
GNI (current US$),WDI
GNI growth (annual %),WDI
GNI per capita (constant 2015 US$),WDI
GNI per capita (constant LCU),WDI
GNI per capita (current LCU),WDI
GNI per capita growth (annual %),WDI
"GNI per capita, Atlas method (current US$)",WDI
"GNI per capita, PPP (constant 2021 international $)",WDI
"GNI per capita, PPP (current international $)",WDI
"GNI, Atlas method (current US$)",WDI
"GNI, PPP (constant 2021 international $)",WDI
"GNI, PPP (current international $)",WDI
GNI: linked series (current LCU),WDI
GOAL 10: Reduced Inequality (5 year moving average),SPI
GOAL 11: Sustainable Cities and Communities (5 year moving average),SPI
GOAL 12: Responsible Consumption and Production (5 year moving average),SPI
GOAL 13: Climate Action (5 year moving average),SPI
GOAL 15: Life on Land (5 year moving average),SPI
GOAL 16: Peace and Justice Strong Institutions (5 year moving average),SPI
GOAL 17: Partnerships to achieve the Goal (5 year moving average),SPI
GOAL 1: No Poverty (5 year moving average),SPI
GOAL 2: Zero Hunger (5 year moving average),SPI
GOAL 3: Good Health and Well-being (5 year moving average),SPI
GOAL 4: Quality Education (5 year moving average),SPI
GOAL 5: Gender Equality (5 year moving average),SPI
GOAL 6: Clean Water and Sanitation (5 year moving average),SPI
GOAL 7: Affordable and Clean Energy (5 year moving average),SPI
GOAL 8: Decent Work and Economic Growth (5 year moving average),SPI
"GOAL 9: Industry, Innovation and Infrastructure (5 year moving average)",SPI
General government final consumption expenditure (% of GDP),WDI
General government final consumption expenditure (annual % growth),WDI
General government final consumption expenditure (constant 2015 US$),WDI
General government final consumption expenditure (constant LCU),WDI
General government final consumption expenditure (current LCU),WDI
General government final consumption expenditure (current US$),WDI
Geospatial data available at 1st Admin Level,SPI
Gini index,WDI
Goods and services expense (% of expense),WDI
Goods and services expense (current LCU),WDI
"Goods exports (BoP, current US$)",WDI
"Goods imports (BoP, current US$)",WDI
Government Effectiveness: Estimate,WDI
Government Effectiveness: Number of Sources,WDI
Government Effectiveness: Percentile Rank,WDI
"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",WDI
"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",WDI
Government Effectiveness: Standard Error,WDI
"Government expenditure on education, total (% of GDP)",WDI
"Government expenditure on education, total (% of government expenditure)",WDI
"Government expenditure per student, primary (% of GDP per capita)",WDI
"Government expenditure per student, secondary (% of GDP per capita)",WDI
"Government expenditure per student, tertiary (% of GDP per capita)",WDI
Grants and other revenue (% of revenue),WDI
Grants and other revenue (current LCU),WDI
"Grants, excluding technical cooperation (BoP, current US$)",WDI
"Gross PSD, Budgetary Central Gov., All maturities, All instruments, Domestic creditors, Nominal Value, % of GDP",QPSD
"Gross PSD, Budgetary Central Gov., All maturities, All instruments, Domestic creditors, Nominal Value, National Currency",QPSD
"Gross PSD, Budgetary Central Gov., All maturities, All instruments, Domestic creditors, Nominal Value, US$",QPSD
"Gross PSD, Budgetary Central Gov., All maturities, All instruments, Domestic currency, Nominal Value, % of GDP",QPSD
"Gross PSD, Budgetary Central Gov., All maturities, All instruments, Domestic currency, Nominal Value, National Currency",QPSD
"Gross PSD, Budgetary Central Gov., All maturities, All instruments, Domestic currency, Nominal Value, US$",QPSD
"Gross PSD, Budgetary Central Gov., All maturities, All instruments, External creditors, Nominal Value, % of GDP",QPSD
"Gross PSD, Budgetary Central Gov., All maturities, All instruments, External creditors, Nominal Value, National Currency",QPSD
"Gross PSD, Budgetary Central Gov., All maturities, All instruments, External creditors, Nominal Value, US$",QPSD
"Gross PSD, Budgetary Central Gov., All maturities, All instruments, Foreign currency, Nominal Value, % of GDP",QPSD
"Gross PSD, Budgetary Central Gov., All maturities, All instruments, Foreign currency, Nominal Value, National Currency",QPSD
"Gross PSD, Budgetary Central Gov., All maturities, All instruments, Foreign currency, Nominal Value, US$",QPSD
"Gross PSD, Budgetary Central Gov., All maturities, All instruments, Nominal Value, % of GDP",QPSD
"Gross PSD, Budgetary Central Gov., All maturities, All instruments, Nominal Value, National Currency",QPSD
"Gross PSD, Budgetary Central Gov., All maturities, All instruments, Nominal Value, US$",QPSD
"Gross PSD, Budgetary Central Gov., All maturities, Currency and deposits, Nominal Value, % of GDP",QPSD
"Gross PSD, Budgetary Central Gov., All maturities, Currency and deposits, Nominal Value, National Currency",QPSD
"Gross PSD, Budgetary Central Gov., All maturities, Currency and deposits, Nominal Value, US$",QPSD
"Gross PSD, Budgetary Central Gov., All maturities, Debt Securities, Market value, % of GDP",QPSD
"Gross PSD, Budgetary Central Gov., All maturities, Debt Securities, Market value, National Currency",QPSD
"Gross PSD, Budgetary Central Gov., All maturities, Debt Securities, Market value, US$",QPSD
"Gross PSD, Budgetary Central Gov., All maturities, Debt securities, Nominal Value, % of GDP",QPSD
"Gross PSD, Budgetary Central Gov., All maturities, Debt securities, Nominal Value, National Currency",QPSD
"Gross PSD, Budgetary Central Gov., All maturities, Debt securities, Nominal Value, US$",QPSD
"Gross PSD, Budgetary Central Gov., All maturities, Insurance, pensions, and standardized guarantee schemes, Nominal Value, % of GDP",QPSD
"Gross PSD, Budgetary Central Gov., All maturities, Insurance, pensions, and standardized guarantee schemes, Nominal Value, National Currency",QPSD
"Gross PSD, Budgetary Central Gov., All maturities, Insurance, pensions, and standardized guarantee schemes, Nominal Value, US$",QPSD
"Gross PSD, Budgetary Central Gov., All maturities, Loans, Nominal Value, % of GDP",QPSD
"Gross PSD, Budgetary Central Gov., All maturities, Loans, Nominal Value, National Currency",QPSD
"Gross PSD, Budgetary Central Gov., All maturities, Loans, Nominal Value, US$",QPSD
"Gross PSD, Budgetary Central Gov., All maturities, Other accounts payable, Nominal Value, % of GDP",QPSD
"Gross PSD, Budgetary Central Gov., All maturities, Other accounts payable, Nominal Value, National Currency",QPSD
"Gross PSD, Budgetary Central Gov., All maturities, Other accounts payable, Nominal Value, US$",QPSD
"Gross PSD, Budgetary Central Gov., All maturities, Special Drawing Rights, Nominal Value, % of GDP",QPSD
"Gross PSD, Budgetary Central Gov., All maturities, Special Drawing Rights, Nominal Value, National Currency",QPSD
"Gross PSD, Budgetary Central Gov., All maturities, Special Drawing Rights, Nominal Value, US$",QPSD
"Gross PSD, Budgetary Central Gov., Long-term, All instruments, Nominal Value, % of GDP",QPSD
"Gross PSD, Budgetary Central Gov., Long-term, All instruments, Nominal Value, National Currency",QPSD
"Gross PSD, Budgetary Central Gov., Long-term, All instruments, Nominal Value, US$",QPSD
"Gross PSD, Budgetary Central Gov., Long-term, With payment due in more than one year, All instruments, Nominal Value, % of GDP",QPSD
"Gross PSD, Budgetary Central Gov., Long-term, With payment due in more than one year, All instruments, Nominal Value, National Currency",QPSD
"Gross PSD, Budgetary Central Gov., Long-term, With payment due in more than one year, All instruments, Nominal Value, US$",QPSD
"Gross PSD, Budgetary Central Gov., Long-term, With payment due in more than one year, Currency and deposits, Nominal Value, % of GDP",QPSD
"Gross PSD, Budgetary Central Gov., Long-term, With payment due in more than one year, Currency and deposits, Nominal Value, National Currency",QPSD
"Gross PSD, Budgetary Central Gov., Long-term, With payment due in more than one year, Currency and deposits, Nominal Value, US$",QPSD
"Gross PSD, Budgetary Central Gov., Long-term, With payment due in more than one year, Debt securities, Nominal Value, % of GDP",QPSD
"Gross PSD, Budgetary Central Gov., Long-term, With payment due in more than one year, Debt securities, Nominal Value, National Currency",QPSD
"Gross PSD, Budgetary Central Gov., Long-term, With payment due in more than one year, Debt securities, Nominal Value, US$",QPSD
"Gross PSD, Budgetary Central Gov., Long-term, With payment due in more than one year, Insurance, pensions, and standardized guarantee schemes, Nominal Value, % of GDP",QPSD
"Gross PSD, Budgetary Central Gov., Long-term, With payment due in more than one year, Insurance, pensions, and standardized guarantee schemes, Nominal Value, National Currency",QPSD
"Gross PSD, Budgetary Central Gov., Long-term, With payment due in more than one year, Insurance, pensions, and standardized guarantee schemes, Nominal Value, US$",QPSD
"Gross PSD, Budgetary Central Gov., Long-term, With payment due in more than one year, Loans, Nominal Value, % of GDP",QPSD
"Gross PSD, Budgetary Central Gov., Long-term, With payment due in more than one year, Loans, Nominal Value, National Currency",QPSD
"Gross PSD, Budgetary Central Gov., Long-term, With payment due in more than one year, Loans, Nominal Value, US$",QPSD
"Gross PSD, Budgetary Central Gov., Long-term, With payment due in more than one year, Other accounts payable, Nominal Value, % of GDP",QPSD
"Gross PSD, Budgetary Central Gov., Long-term, With payment due in more than one year, Other accounts payable, Nominal Value, National Currency",QPSD
"Gross PSD, Budgetary Central Gov., Long-term, With payment due in more than one year, Other accounts payable, Nominal Value, US$",QPSD
"Gross PSD, Budgetary Central Gov., Long-term, With payment due in more than one year, Special Drawing Rights, Nominal Value, % of GDP",QPSD
"Gross PSD, Budgetary Central Gov., Long-term, With payment due in more than one year, Special Drawing Rights, Nominal Value, National Currency",QPSD
"Gross PSD, Budgetary Central Gov., Long-term, With payment due in more than one year, Special Drawing Rights, Nominal Value, US$",QPSD
"Gross PSD, Budgetary Central Gov., Long-term, With payment due in one year or less, All instruments, Nominal Value, % of GDP",QPSD
"Gross PSD, Budgetary Central Gov., Long-term, With payment due in one year or less, All instruments, Nominal Value, National Currency",QPSD
"Gross PSD, Budgetary Central Gov., Long-term, With payment due in one year or less, All instruments, Nominal Value, US$",QPSD
"Gross PSD, Budgetary Central Gov., Long-term, With payment due in one year or less, Currency and deposits, Nominal Value, % of GDP",QPSD
"Gross PSD, Budgetary Central Gov., Long-term, With payment due in one year or less, Currency and deposits, Nominal Value, National Currency",QPSD
"Gross PSD, Budgetary Central Gov., Long-term, With payment due in one year or less, Currency and deposits, Nominal Value, US$",QPSD
"Gross PSD, Budgetary Central Gov., Long-term, With payment due in one year or less, Debt securities, Nominal Value, % of GDP",QPSD
"Gross PSD, Budgetary Central Gov., Long-term, With payment due in one year or less, Debt securities, Nominal Value, National Currency",QPSD
"Gross PSD, Budgetary Central Gov., Long-term, With payment due in one year or less, Debt securities, Nominal Value, US$",QPSD
"Gross PSD, Budgetary Central Gov., Long-term, With payment due in one year or less, Insurance, pensions, and standardized guarantee schemes, Nominal Value, % of GDP",QPSD
"Gross PSD, Budgetary Central Gov., Long-term, With payment due in one year or less, Insurance, pensions, and standardized guarantee schemes, Nominal Value, National Currency",QPSD
"Gross PSD, Budgetary Central Gov., Long-term, With payment due in one year or less, Insurance, pensions, and standardized guarantee schemes, Nominal Value, US$",QPSD
"Gross PSD, Budgetary Central Gov., Long-term, With payment due in one year or less, Loans, Nominal Value, % of GDP",QPSD
"Gross PSD, Budgetary Central Gov., Long-term, With payment due in one year or less, Loans, Nominal Value, National Currency",QPSD
"Gross PSD, Budgetary Central Gov., Long-term, With payment due in one year or less, Loans, Nominal Value, US$",QPSD
"Gross PSD, Budgetary Central Gov., Long-term, With payment due in one year or less, Other accounts payable, Nominal Value, % of GDP",QPSD
"Gross PSD, Budgetary Central Gov., Long-term, With payment due in one year or less, Other accounts payable, Nominal Value, National Currency",QPSD
"Gross PSD, Budgetary Central Gov., Long-term, With payment due in one year or less, Other accounts payable, Nominal Value, US$",QPSD
"Gross PSD, Budgetary Central Gov., Short-term, All instruments, Nominal Value, % of GDP",QPSD
"Gross PSD, Budgetary Central Gov., Short-term, All instruments, Nominal Value, National Currency",QPSD
"Gross PSD, Budgetary Central Gov., Short-term, All instruments, Nominal Value, US$",QPSD
"Gross PSD, Budgetary Central Gov., Short-term, Currency and deposits, Nominal Value, % of GDP",QPSD
"Gross PSD, Budgetary Central Gov., Short-term, Currency and deposits, Nominal Value, National Currency",QPSD
"Gross PSD, Budgetary Central Gov., Short-term, Currency and deposits, Nominal Value, US$",QPSD
"Gross PSD, Budgetary Central Gov., Short-term, Debt securities, Nominal Value, % of GDP",QPSD
"Gross PSD, Budgetary Central Gov., Short-term, Debt securities, Nominal Value, National Currency",QPSD
"Gross PSD, Budgetary Central Gov., Short-term, Debt securities, Nominal Value, US$",QPSD
"Gross PSD, Budgetary Central Gov., Short-term, Insurance, pensions, and standardized guarantee schemes, Nominal Value, % of GDP",QPSD
"Gross PSD, Budgetary Central Gov., Short-term, Insurance, pensions, and standardized guarantee schemes, Nominal Value, National Currency",QPSD
"Gross PSD, Budgetary Central Gov., Short-term, Insurance, pensions, and standardized guarantee schemes, Nominal Value, US$",QPSD
"Gross PSD, Budgetary Central Gov., Short-term, Loans, Nominal Value, % of GDP",QPSD
"Gross PSD, Budgetary Central Gov., Short-term, Loans, Nominal Value, National Currency",QPSD
"Gross PSD, Budgetary Central Gov., Short-term, Loans, Nominal Value, US$",QPSD
"Gross PSD, Budgetary Central Gov., Short-term, Other accounts payable, Nominal Value, % of GDP",QPSD
"Gross PSD, Budgetary Central Gov., Short-term, Other accounts payable, Nominal Value, National Currency",QPSD
"Gross PSD, Budgetary Central Gov., Short-term, Other accounts payable, Nominal Value, US$",QPSD
"Gross PSD, Central Gov., All maturities, All instruments, Domestic creditors, Nominal Value, % of GDP",QPSD
"Gross PSD, Central Gov., All maturities, All instruments, Domestic creditors, Nominal Value, National Currency",QPSD
"Gross PSD, Central Gov., All maturities, All instruments, Domestic creditors, Nominal Value, US$",QPSD
"Gross PSD, Central Gov., All maturities, All instruments, Domestic currency, Nominal Value, % of GDP",QPSD
"Gross PSD, Central Gov., All maturities, All instruments, Domestic currency, Nominal Value, National Currency",QPSD
"Gross PSD, Central Gov., All maturities, All instruments, Domestic currency, Nominal Value, US$",QPSD
"Gross PSD, Central Gov., All maturities, All instruments, External creditors, Nominal Value, % of GDP",QPSD
"Gross PSD, Central Gov., All maturities, All instruments, External creditors, Nominal Value, National Currency",QPSD
"Gross PSD, Central Gov., All maturities, All instruments, External creditors, Nominal Value, US$",QPSD
"Gross PSD, Central Gov., All maturities, All instruments, Foreign currency, Nominal Value, % of GDP",QPSD
"Gross PSD, Central Gov., All maturities, All instruments, Foreign currency, Nominal Value, National Currency",QPSD
"Gross PSD, Central Gov., All maturities, All instruments, Foreign currency, Nominal Value, US$",QPSD
"Gross PSD, Central Gov., All maturities, All instruments, Nominal Value, % of GDP",QPSD
"Gross PSD, Central Gov., All maturities, All instruments, Nominal Value, National Currency",QPSD
"Gross PSD, Central Gov., All maturities, All instruments, Nominal Value, US$",QPSD
"Gross PSD, Central Gov., All maturities, Currency and deposits, Nominal Value, % of GDP",QPSD
"Gross PSD, Central Gov., All maturities, Currency and deposits, Nominal Value, National Currency",QPSD
"Gross PSD, Central Gov., All maturities, Currency and deposits, Nominal Value, US$",QPSD
"Gross PSD, Central Gov., All maturities, Debt Securities, Market value, % of GDP",QPSD
"Gross PSD, Central Gov., All maturities, Debt Securities, Market value, National Currency",QPSD
"Gross PSD, Central Gov., All maturities, Debt Securities, Market value, US$",QPSD
"Gross PSD, Central Gov., All maturities, Debt securities, Nominal Value, % of GDP",QPSD
"Gross PSD, Central Gov., All maturities, Debt securities, Nominal Value, National Currency",QPSD
"Gross PSD, Central Gov., All maturities, Debt securities, Nominal Value, US$",QPSD
"Gross PSD, Central Gov., All maturities, Insurance, pensions, and standardized guarantee schemes, Nominal Value, % of GDP",QPSD
"Gross PSD, Central Gov., All maturities, Insurance, pensions, and standardized guarantee schemes, Nominal Value, National Currency",QPSD
"Gross PSD, Central Gov., All maturities, Insurance, pensions, and standardized guarantee schemes, Nominal Value, US$",QPSD
"Gross PSD, Central Gov., All maturities, Loans, Nominal Value, % of GDP",QPSD
"Gross PSD, Central Gov., All maturities, Loans, Nominal Value, National Currency",QPSD
"Gross PSD, Central Gov., All maturities, Loans, Nominal Value, US$",QPSD
"Gross PSD, Central Gov., All maturities, Other accounts payable, Nominal Value, % of GDP",QPSD
"Gross PSD, Central Gov., All maturities, Other accounts payable, Nominal Value, National Currency",QPSD
"Gross PSD, Central Gov., All maturities, Other accounts payable, Nominal Value, US$",QPSD
"Gross PSD, Central Gov., All maturities, Special Drawing Rights, Nominal Value, % of GDP",QPSD
"Gross PSD, Central Gov., All maturities, Special Drawing Rights, Nominal Value, National Currency",QPSD
"Gross PSD, Central Gov., All maturities, Special Drawing Rights, Nominal Value, US$",QPSD
"Gross PSD, Central Gov., Long-term, All instruments, Nominal Value, % of GDP",QPSD
"Gross PSD, Central Gov., Long-term, All instruments, Nominal Value, National Currency",QPSD
"Gross PSD, Central Gov., Long-term, All instruments, Nominal Value, US$",QPSD
"Gross PSD, Central Gov., Long-term, With payment due in more than one year, All instruments, Nominal Value, % of GDP",QPSD
"Gross PSD, Central Gov., Long-term, With payment due in more than one year, All instruments, Nominal Value, National Currency",QPSD
"Gross PSD, Central Gov., Long-term, With payment due in more than one year, All instruments, Nominal Value, US$",QPSD
"Gross PSD, Central Gov., Long-term, With payment due in more than one year, Currency and deposits, Nominal Value, % of GDP",QPSD
"Gross PSD, Central Gov., Long-term, With payment due in more than one year, Currency and deposits, Nominal Value, National Currency",QPSD
"Gross PSD, Central Gov., Long-term, With payment due in more than one year, Currency and deposits, Nominal Value, US$",QPSD
"Gross PSD, Central Gov., Long-term, With payment due in more than one year, Debt securities, Nominal Value, % of GDP",QPSD
"Gross PSD, Central Gov., Long-term, With payment due in more than one year, Debt securities, Nominal Value, National Currency",QPSD
"Gross PSD, Central Gov., Long-term, With payment due in more than one year, Debt securities, Nominal Value, US$",QPSD
"Gross PSD, Central Gov., Long-term, With payment due in more than one year, Insurance, pensions, and standardized guarantee schemes, Nominal Value, % of GDP",QPSD
"Gross PSD, Central Gov., Long-term, With payment due in more than one year, Insurance, pensions, and standardized guarantee schemes, Nominal Value, National Currency",QPSD
"Gross PSD, Central Gov., Long-term, With payment due in more than one year, Insurance, pensions, and standardized guarantee schemes, Nominal Value, US$",QPSD
"Gross PSD, Central Gov., Long-term, With payment due in more than one year, Loans, Nominal Value, % of GDP",QPSD
"Gross PSD, Central Gov., Long-term, With payment due in more than one year, Loans, Nominal Value, National Currency",QPSD
"Gross PSD, Central Gov., Long-term, With payment due in more than one year, Loans, Nominal Value, US$",QPSD
"Gross PSD, Central Gov., Long-term, With payment due in more than one year, Other accounts payable, Nominal Value, % of GDP",QPSD
"Gross PSD, Central Gov., Long-term, With payment due in more than one year, Other accounts payable, Nominal Value, National Currency",QPSD
"Gross PSD, Central Gov., Long-term, With payment due in more than one year, Other accounts payable, Nominal Value, US$",QPSD
"Gross PSD, Central Gov., Long-term, With payment due in more than one year, Special Drawing Rights, Nominal Value, % of GDP",QPSD
"Gross PSD, Central Gov., Long-term, With payment due in more than one year, Special Drawing Rights, Nominal Value, National Currency",QPSD
"Gross PSD, Central Gov., Long-term, With payment due in more than one year, Special Drawing Rights, Nominal Value, US$",QPSD
"Gross PSD, Central Gov., Long-term, With payment due in one year or less, All instruments, Nominal Value, % of GDP",QPSD
"Gross PSD, Central Gov., Long-term, With payment due in one year or less, All instruments, Nominal Value, National Currency",QPSD
"Gross PSD, Central Gov., Long-term, With payment due in one year or less, All instruments, Nominal Value, US$",QPSD
"Gross PSD, Central Gov., Long-term, With payment due in one year or less, Currency and deposits, Nominal Value, % of GDP",QPSD
"Gross PSD, Central Gov., Long-term, With payment due in one year or less, Currency and deposits, Nominal Value, National Currency",QPSD
"Gross PSD, Central Gov., Long-term, With payment due in one year or less, Currency and deposits, Nominal Value, US$",QPSD
"Gross PSD, Central Gov., Long-term, With payment due in one year or less, Debt securities, Nominal Value, % of GDP",QPSD
"Gross PSD, Central Gov., Long-term, With payment due in one year or less, Debt securities, Nominal Value, National Currency",QPSD
"Gross PSD, Central Gov., Long-term, With payment due in one year or less, Debt securities, Nominal Value, US$",QPSD
"Gross PSD, Central Gov., Long-term, With payment due in one year or less, Insurance, pensions, and standardized guarantee schemes, Nominal Value, % of GDP",QPSD
"Gross PSD, Central Gov., Long-term, With payment due in one year or less, Insurance, pensions, and standardized guarantee schemes, Nominal Value, National Currency",QPSD
"Gross PSD, Central Gov., Long-term, With payment due in one year or less, Insurance, pensions, and standardized guarantee schemes, Nominal Value, US$",QPSD
"Gross PSD, Central Gov., Long-term, With payment due in one year or less, Loans, Nominal Value, % of GDP",QPSD
"Gross PSD, Central Gov., Long-term, With payment due in one year or less, Loans, Nominal Value, National Currency",QPSD
"Gross PSD, Central Gov., Long-term, With payment due in one year or less, Loans, Nominal Value, US$",QPSD
"Gross PSD, Central Gov., Long-term, With payment due in one year or less, Other accounts payable, Nominal Value, % of GDP",QPSD
"Gross PSD, Central Gov., Long-term, With payment due in one year or less, Other accounts payable, Nominal Value, National Currency",QPSD
"Gross PSD, Central Gov., Long-term, With payment due in one year or less, Other accounts payable, Nominal Value, US$",QPSD
"Gross PSD, Central Gov., Short-term, All instruments, Nominal Value, % of GDP",QPSD
"Gross PSD, Central Gov., Short-term, All instruments, Nominal Value, National Currency",QPSD
"Gross PSD, Central Gov., Short-term, All instruments, Nominal Value, US$",QPSD
"Gross PSD, Central Gov., Short-term, Currency and deposits, Nominal Value, % of GDP",QPSD
"Gross PSD, Central Gov., Short-term, Currency and deposits, Nominal Value, National Currency",QPSD
"Gross PSD, Central Gov., Short-term, Currency and deposits, Nominal Value, US$",QPSD
"Gross PSD, Central Gov., Short-term, Debt securities, Nominal Value, % of GDP",QPSD
"Gross PSD, Central Gov., Short-term, Debt securities, Nominal Value, National Currency",QPSD
"Gross PSD, Central Gov., Short-term, Debt securities, Nominal Value, US$",QPSD
"Gross PSD, Central Gov., Short-term, Insurance, pensions, and standardized guarantee schemes, Nominal Value, % of GDP",QPSD
"Gross PSD, Central Gov., Short-term, Insurance, pensions, and standardized guarantee schemes, Nominal Value, National Currency",QPSD
"Gross PSD, Central Gov., Short-term, Insurance, pensions, and standardized guarantee schemes, Nominal Value, US$",QPSD
"Gross PSD, Central Gov., Short-term, Loans, Nominal Value, % of GDP",QPSD
"Gross PSD, Central Gov., Short-term, Loans, Nominal Value, National Currency",QPSD
"Gross PSD, Central Gov., Short-term, Loans, Nominal Value, US$",QPSD
"Gross PSD, Central Gov., Short-term, Other accounts payable, Nominal Value, % of GDP",QPSD
"Gross PSD, Central Gov., Short-term, Other accounts payable, Nominal Value, National Currency",QPSD
"Gross PSD, Central Gov., Short-term, Other accounts payable, Nominal Value, US$",QPSD
"Gross PSD, Central Gov.-D1, All maturities, Debt securities + loans, Nominal Value, % of GDP",QPSD
"Gross PSD, Central Gov.-D1, All maturities, Debt securities + loans, Nominal Value, US$",QPSD
"Gross PSD, Central Gov.-D2, All maturities, D1+ SDRs + currency and deposits, Nominal Value, % of GDP",QPSD
"Gross PSD, Central Gov.-D2, All maturities, D1+ SDRs + currency and deposits, Nominal Value, US$",QPSD
"Gross PSD, Central Gov.-D2A, All maturities, D1+ currency and deposits, Maastricht debt, % of GDP",QPSD
"Gross PSD, Central Gov.-D2A, All maturities, D1+ currency and deposits, Maastricht debt, US$",QPSD
"Gross PSD, Central Gov.-D3, All maturities, D2+other accounts payable, Nominal Value, % of GDP",QPSD
"Gross PSD, Central Gov.-D3, All maturities, D2+other accounts payable, Nominal Value, US$",QPSD
"Gross PSD, Central Gov.-D4, All maturities, D3+insurance, pensions, and standardized guarantees, Nominal Value, % of GDP",QPSD
"Gross PSD, Central Gov.-D4, All maturities, D3+insurance, pensions, and standardized guarantees, Nominal Value, US$",QPSD
"Gross PSD, Financial Public Corp., All maturities, All instruments, Domestic creditors, Nominal Value, % of GDP",QPSD
"Gross PSD, Financial Public Corp., All maturities, All instruments, Domestic creditors, Nominal Value, National Currency",QPSD
"Gross PSD, Financial Public Corp., All maturities, All instruments, Domestic creditors, Nominal Value, US$",QPSD
"Gross PSD, Financial Public Corp., All maturities, All instruments, Domestic currency, Nominal Value, % of GDP",QPSD
"Gross PSD, Financial Public Corp., All maturities, All instruments, Domestic currency, Nominal Value, National Currency",QPSD
"Gross PSD, Financial Public Corp., All maturities, All instruments, Domestic currency, Nominal Value, US$",QPSD
"Gross PSD, Financial Public Corp., All maturities, All instruments, External creditors, Nominal Value, % of GDP",QPSD
"Gross PSD, Financial Public Corp., All maturities, All instruments, External creditors, Nominal Value, National Currency",QPSD
"Gross PSD, Financial Public Corp., All maturities, All instruments, External creditors, Nominal Value, US$",QPSD
"Gross PSD, Financial Public Corp., All maturities, All instruments, Foreign currency, Nominal Value, % of GDP",QPSD
"Gross PSD, Financial Public Corp., All maturities, All instruments, Foreign currency, Nominal Value, National Currency",QPSD
"Gross PSD, Financial Public Corp., All maturities, All instruments, Foreign currency, Nominal Value, US$",QPSD
"Gross PSD, Financial Public Corp., All maturities, All instruments, Nominal Value, % of GDP",QPSD
"Gross PSD, Financial Public Corp., All maturities, All instruments, Nominal Value, National Currency",QPSD
"Gross PSD, Financial Public Corp., All maturities, All instruments, Nominal Value, US$",QPSD
"Gross PSD, Financial Public Corp., All maturities, Currency and deposits, Nominal Value, % of GDP",QPSD
"Gross PSD, Financial Public Corp., All maturities, Currency and deposits, Nominal Value, National Currency",QPSD
"Gross PSD, Financial Public Corp., All maturities, Currency and deposits, Nominal Value, US$",QPSD
"Gross PSD, Financial Public Corp., All maturities, Debt Securities, Market value, % of GDP",QPSD
"Gross PSD, Financial Public Corp., All maturities, Debt Securities, Market value, National Currency",QPSD
"Gross PSD, Financial Public Corp., All maturities, Debt Securities, Market value, US$",QPSD
"Gross PSD, Financial Public Corp., All maturities, Debt securities, Nominal Value, % of GDP",QPSD
"Gross PSD, Financial Public Corp., All maturities, Debt securities, Nominal Value, National Currency",QPSD
"Gross PSD, Financial Public Corp., All maturities, Debt securities, Nominal Value, US$",QPSD
"Gross PSD, Financial Public Corp., All maturities, Insurance, pensions, and standardized guarantee schemes, Nominal Value, % of GDP",QPSD
